Issue,Subject,Company,Response,Product Area,Status,Request Type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",team_and_enterprise_plans,escalated,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Thanks for reaching out. This assessment or integrity-related issue needs human review because it involves a protected result or decision.,general_support,escalated,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"If you have concerns involving a merchant, you can take action immediately by filling out this form.",general_support,replied,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,What happens to my mock interview credits if I merge accounts? Mock interview credits cannot be transferred and stay on the account where they were purchased. We recommend using them before merging accounts. Can I update my payment method?,subscriptions_payments_and_billing,replied,bug
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,What happens to my mock interview credits if I merge accounts? Mock interview credits cannot be transferred and stay on the account where they were purchased. We recommend using them before merging accounts. Can I update my payment method?,subscriptions_payments_and_billing,replied,bug
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Next, Identify your test validator. This individual is frequently a current employee that is at the same level as the role you are hiring. Create a timeline for how long the validation and test process will take. This will be a good time to send out calendar invites to secure deadlines. You can also use this time to set up and [](https://support.hackerrank.com/hc/en-us/articles/1500008525861-Introducing-Interview-Templates) create Interview Templates. By using Interview...",evaluation_guides,replied,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",practice_coding_challenges,escalated,bug
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",skillup,escalated,product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"The email ID you have used with your Teamtailor account should be the same as the email ID associated with the HackerRank account, which also possesses a Recruiter license in HackerRank.",integrations,replied,bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",general_support,escalated,feature_request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",screen,escalated,product_issue
"it’s not working, help",Help needed,None,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",general_support,escalated,bug
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"When you generate a HackerRank Interview link through any calendar add-ons, we just synchronize the details about who generated the interview and a timestamp for when it was generated. You can add or remove attendees prior to the interview and still be able to use the same link. Whenever an interviewer logs in, we will record their name and update the Interview with their details. This will also happen for multiple interviewers.",integrations,replied,product_issue
