issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",identity_management_sso_jit_scim,escalated,product_issue,"Escalated by deterministic rule weak_or_conflicting_evidence (near_tie_product_area_conflict); resolved_company=Claude; product_area=identity_management_sso_jit_scim. Top retrieved evidence was claude/identity-management-sso-jit-scim/13133195-set-up-jit-or-scim-provisioning.md (rank=2, score=49.52)."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Thanks for reaching out. This assessment or integrity-related issue needs human review because it involves a protected result or decision.,general_support,escalated,product_issue,Escalated by deterministic rule assessment_score_or_integrity (score_or_integrity_dispute); resolved_company=HackerRank; product_area=general_support.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,Escalated by deterministic rule billing_dispute (charge_or_refund_dispute); resolved_company=Visa; product_area=general_support.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,Escalated by deterministic rule billing_dispute (charge_or_refund_dispute); resolved_company=HackerRank; product_area=general_support.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,Escalated by deterministic rule billing_dispute (charge_or_refund_dispute); resolved_company=HackerRank; product_area=general_support.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thanks for reaching out. This request needs human support review because it involves legal, privacy, or compliance handling.",general_support,escalated,product_issue,Escalated by deterministic rule legal_privacy_compliance (legal_or_compliance_request); resolved_company=HackerRank; product_area=general_support.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",integrations,escalated,bug,"Escalated by deterministic rule weak_or_conflicting_evidence (near_tie_product_area_conflict); resolved_company=HackerRank; product_area=integrations. Top retrieved evidence was hackerrank/integrations/scheduling/1262999130-hackerrank-interview-and-google-calendar-integration.md (rank=4, score=19.53)."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Thanks for reaching out. This issue appears to be a wider service incident and has been routed for human support review.,general_support,escalated,bug,Escalated by deterministic rule outage_or_incident (service_outage); resolved_company=HackerRank; product_area=general_support.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",interviews,escalated,bug,"Escalated by deterministic rule weak_or_conflicting_evidence (near_tie_product_area_conflict); resolved_company=HackerRank; product_area=interviews. Top retrieved evidence was hackerrank/interviews/additional-resources/faqs/9583186367-FAQs.md (rank=8, score=47.73)."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Subject: &lt;Company Name&gt; &lt; Test Name &gt; Assessment Invitation Email Body: Hi &lt;Candidate Name&gt; ,",general_support,replied,feature_request,"Replied from retrieved support evidence in hackerrank/uncategorized/9695299159-onboarding-candidates.md (title='Onboarding Candidates', heading='Invitation Templates / Invitation Template 1', rank=1, score=59.38); resolved_company=HackerRank; product_area=general_support."
