issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Thanks for reaching out. This request needs human support review because it involves restoring access or changing identity-specific account details.,general_support,escalated,product_issue,This ticket asks for account restoration or identity-specific account changes that require human verification.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Thanks for reaching out. This assessment or integrity-related issue needs human review because it involves a protected result or decision.,general_support,escalated,product_issue,"This ticket disputes an assessment result, grading outcome, or integrity decision that should be escalated."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,This ticket needs account-specific billing investigation or a refund decision.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"If the mock interview purchase was accidental or you were not satisfied with the session, please contact help@hackerrank.com and describe what happened so the support team can review your refund request. If the payment itself failed or an amount was deducted incorrectly, please refresh the page and try again. Incorrect deductions are refunded within 5 to 10 business days according to the billing FAQ.",subscriptions_payments_and_billing,escalated,product_issue,This ticket needs account-specific billing investigation or a refund decision. Used HackerRank mock-interview billing guidance for refund review and payment troubleshooting.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,subscriptions_payments_and_billing,escalated,product_issue,This ticket needs account-specific billing investigation or a refund decision.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thanks for reaching out. This request needs human support review because it involves legal, privacy, or compliance handling.",general_support,escalated,product_issue,"This ticket requests legal, privacy, or compliance handling outside safe self-service support guidance."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Try closing the challenge window and reopening it with the same link, then retry in the latest version of Chrome, Firefox, or Edge. Also confirm your internet connection is stable. If results still do not appear after processing, contact help@hackerrank.com with the issue details.",practice_coding_challenges,escalated,bug,Escalated because the available support material only partially resolved the request. The best usable guidance was about coding challenges faqs. Used HackerRank coding-challenge troubleshooting guidance for challenge loading and submission issues.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Thanks for reaching out. This issue appears to be a wider service incident and has been routed for human support review.,general_support,escalated,bug,This ticket describes a platform-wide outage or service incident that should be escalated.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Open the HackerRank compatibility check page and confirm the audio, video, browser, and network checks all pass. Use the latest Chrome, Edge, or Firefox, and make sure your network allows zoom.us domains. If the compatibility check still fails, send support@hackerrank.com a screenshot of the error.",interviews,replied,bug,"Used HackerRank Zoom compatibility guidance for interview audio, video, and network setup."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"HackerRank Support can't reschedule assessments or interviews. Please contact your recruiter or hiring team for a new date and time, because they control hiring workflow changes.",interviews,replied,product_issue,Replied using HackerRank candidate-support guidance for assessment and interview rescheduling.
